id;member_id;created_by_member_id;service_id;status;status_tlm;when_created
1;32518;66592;72960;INACTIVE;2019-10-16T23:03:42;2019-10-17T01:12:17
2;11959;97171;71324;ACTIVE;2019-10-16T22:32:38;2019-10-17T09:25:28
3;52273;71066;42754;INACTIVE;2019-10-17T07:48:19;2019-10-17T05:33:13
4;3142;89576;63641;INACTIVE;2019-10-16T12:36:48;2019-10-17T07:03:03
5;24929;60441;41038;DRAFT;2019-10-17T08:32:50;2019-10-16T20:01:20
6;28975;69478;16122;ACTIVE;2019-10-16T13:28:48;2019-10-16T23:26:17
7;80367;21844;18657;DRAFT;2019-10-16T15:00:59;2019-10-17T07:27:53
8;89609;35629;31800;DRAFT;2019-10-16T14:45:45;2019-10-17T01:56:00
9;86073;30478;695;DRAFT;2019-10-17T00:22:37;2019-10-16T22:45:32
10;22210;69243;11986;DRAFT;2019-10-16T11:45:55;2019-10-17T06:21:21
